"NU_ANO_CENSO"|"ID_TURMA"|"NO_TURMA"|"TX_HR_INICIAL"|"TX_MI_INICIAL"|"NU_DURACAO_TURMA"|"QT_MATRICULAS"|"TP_MEDIACAO_DIDATICO_PEDAGO"|"IN_ESPECIAL_EXCLUSIVA"|"IN_REGULAR"|"IN_EJA"|"IN_PROFISSIONALIZANTE"|"TP_ETAPA_ENSINO"|"CO_CURSO_EDUC_PROFISSIONAL"|"TP_TIPO_TURMA"|"IN_MAIS_EDUCACAO"|"NU_DIAS_ATIVIDADE"|"IN_DIA_SEMANA_DOMINGO"|"IN_DIA_SEMANA_SEGUNDA"|"IN_DIA_SEMANA_TERCA"|"IN_DIA_SEMANA_QUARTA"|"IN_DIA_SEMANA_QUINTA"|"IN_DIA_SEMANA_SEXTA"|"IN_DIA_SEMANA_SABADO"|"CO_TIPO_ATIVIDADE_1"|"CO_TIPO_ATIVIDADE_2"|"CO_TIPO_ATIVIDADE_3"|"CO_TIPO_ATIVIDADE_4"|"CO_TIPO_ATIVIDADE_5"|"CO_TIPO_ATIVIDADE_6"|"IN_BRAILLE"|"IN_RECURSOS_BAIXA_VISAO"|"IN_PROCESSOS_MENTAIS"|"IN_ORIENTACAO_MOBILIDADE"|"IN_SINAIS"|"IN_COMUNICACAO_ALT_AUMENT"|"IN_ENRIQ_CURRICULAR"|"IN_SOROBAN"|"IN_INFORMATICA_ACESSIVEL"|"IN_PORT_ESCRITA"|"IN_AUTONOMIA_ESCOLAR"|"IN_DISC_QUIMICA"|"IN_DISC_FISICA"|"IN_DISC_MATEMATICA"|"IN_DISC_BIOLOGIA"|"IN_DISC_CIENCIAS"|"IN_DISC_LINGUA_PORTUGUESA"|"IN_DISC_LINGUA_INGLES"|"IN_DISC_LINGUA_ESPANHOL"|"IN_DISC_LINGUA_FRANCES"|"IN_DISC_LINGUA_OUTRA"|"IN_DISC_LINGUA_INDIGENA"|"IN_DISC_ARTES"|"IN_DISC_EDUCACAO_FISICA"|"IN_DISC_HISTORIA"|"IN_DISC_GEOGRAFIA"|"IN_DISC_FILOSOFIA"|"IN_DISC_ENSINO_RELIGIOSO"|"IN_DISC_ESTUDOS_SOCIAIS"|"IN_DISC_SOCIOLOGIA"|"IN_DISC_EST_SOCIAIS_SOCIOLOGIA"|"IN_DISC_INFORMATICA_COMPUTACAO"|"IN_DISC_PROFISSIONALIZANTE"|"IN_DISC_ATENDIMENTO_ESPECIAIS"|"IN_DISC_DIVER_SOCIO_CULTURAL"|"IN_DISC_LIBRAS"|"IN_DISC_PEDAGOGICAS"|"IN_DISC_OUTRAS"|"CO_ENTIDADE"|"CO_REGIAO"|"CO_MESORREGIAO"|"CO_MICRORREGIAO"|"CO_UF"|"CO_MUNICIPIO"|"CO_DISTRITO"|"TP_DEPENDENCIA"|"TP_LOCALIZACAO"|"TP_CATEGORIA_ESCOLA_PRIVADA"|"IN_CONVENIADA_PP"|"TP_CONVENIO_PODER_PUBLICO"|"IN_MANT_ESCOLA_PRIVADA_EMP"|"IN_MANT_ESCOLA_PRIVADA_ONG"|"IN_MANT_ESCOLA_PRIVADA_SIND"|"IN_MANT_ESCOLA_PRIVADA_SIST_S"|"IN_MANT_ESCOLA_PRIVADA_S_FINS"|"TP_REGULAMENTACAO"|"TP_LOCALIZACAO_DIFERENCIADA"|"IN_EDUCACAO_INDIGENA"
2018|12999438|"TURMA SIR01"|17|50|60|23|1|NA|NA|NA|NA|NA|NA|5|NA|1|0|1|0|0|0|0|0|NA|NA|NA|NA|NA|NA|0|0|1|0|0|0|1|0|1|1|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43172482|4|4305|43026|43|4314902|431490205|3|1|NA|NA|NA|NA|NA|NA|NA|NA|1|0|0
2018|11907302|"022"|13|30|270|11|1|0|1|0|0|1|NA|0|NA|5|0|1|1|1|1|1|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43105106|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|0|0|1|0|0|1|0|0
2018|12510828|"TURMA LA09"|15|45|60|1|1|NA|NA|NA|NA|NA|NA|4|0|2|0|1|0|1|0|0|0|39999|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43241000|4|4305|43026|43|4314902|431490205|3|1|NA|NA|NA|NA|NA|NA|NA|NA|1|0|0
2018|10860191|"BERCARIO"|7|0|720|10|1|0|1|0|0|1|NA|0|NA|5|0|1|1|1|1|1|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43142249|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|2|0|0
2018|10671119|"NIVEL II"|7|0|720|5|1|0|1|0|0|1|NA|0|NA|5|0|1|1|1|1|1|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43092136|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|2|0|0
2018|13558693|"GIOVANNE"|10|15|30|1|1|NA|NA|NA|NA|NA|NA|5|NA|1|0|0|0|0|1|0|0|NA|NA|NA|NA|NA|NA|0|0|1|0|0|1|1|0|0|0|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43107443|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|1|1|0|0
2018|12448029|"MATERNAL I"|13|30|240|7|1|0|1|0|0|1|NA|0|NA|5|0|1|1|1|1|1|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43187978|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|1|0|0
2018|13364526|"GRUPO 4-5"|13|30|240|8|1|0|1|0|0|2|NA|0|NA|5|0|1|1|1|1|1|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43109276|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|1|0|0
2018|12092445|"EQUIPE FUTSAL JUVENIL"|12|35|55|14|1|NA|NA|NA|NA|NA|NA|4|NA|2|0|0|0|0|1|1|0|22019|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43104967|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|0|0|1|0|0|1|0|0
2018|14261506|"SR T"|13|0|245|7|1|NA|NA|NA|NA|NA|NA|5|NA|1|0|1|0|0|0|0|0|NA|NA|NA|NA|NA|NA|0|1|1|1|0|1|1|0|1|0|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|43107966|4|4305|43026|43|4314902|431490205|2|1|NA|NA|NA|NA|NA|NA|NA|NA|1|0|0
